Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,CLEAN_DESC,MANUFACTURER_NAME,BRAND_NAME,MANUFACTURER_PART_NUMBER,STANDARDIZED_DIMENSIONS,STAGE1_STATUS
DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc","Freud America, Inc.",Diablo®,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2 in x 18"" - Sanding Belt 6pc",NORMALIZED
3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Bo x ,NORMALIZED
3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Bo x ,NORMALIZED
3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Bo x ,NORMALIZED
3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Bo x ,NORMALIZED
3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Bo x ,NORMALIZED
3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,3M,3M™,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Bo x ,NORMALIZED
5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),"5B-332-080 HIOLIT 5"" P80","Mirka Abrasives, Inc.",Mirka®,5B-332-080,"5B-332-080 HIOLIT 5"" P80",NORMALIZED
5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),"5B-332-120 HIOLIT 5"" P120","Mirka Abrasives, Inc.",Mirka®,5B-332-120,"5B-332-120 HIOLIT 5"" P120",NORMALIZED
9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),9A-570-240 Abranet 2.75x30,"Mirka Abrasives, Inc.",Mirka®,9A-570-240,9A-570-240 Abranet 2.75 x 30 in,NORMALIZED
9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),9A-570-320 Abranet 2.75x30,"Mirka Abrasives, Inc.",Mirka®,9A-570-320,9A-570-320 Abranet 2.75 x 30 in,NORMALIZED
DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DBD090094101F Diablo 9"" - Metal Cut-Off Disc","Freud America, Inc.",Diablo®,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",NORMALIZED
DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc","Freud America, Inc.",Diablo®,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",NORMALIZED
DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc","Freud America, Inc.",Diablo®,DBDS12125G01F,DBDS12125G01F Diablo 12 in x 20mm - Speed Demon Metal Cut-Off Disc,NORMALIZED
DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc","Freud America, Inc.",Diablo®,DBDS14125A01F,"DBDS14125A01F Diablo 14 in x 1"" - Steel Demon Metal Cut-Off Disc",NORMALIZED
DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc","Freud America, Inc.",Diablo®,DBDS14125G01F,DBDS14125G01F Diablo 14 in x 20mm - Steel Demon Metal Cut-Off Disc,NORMALIZED
49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0013,"49-94-0013 Milw 5 in x .045 in x 7/8"" Metal Cut Off Disc",NORMALIZED
49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0029,"49-94-0029 Milw 6-1/2 in x 1/8 in x 5/8"" DKO Metal Cut Off Disc",NORMALIZED
49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0033,"49-94-0033 Milw 7 in x 1/16 in x 7/8"" Metal Cut Off Disc",NORMALIZED
49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0001,"49-94-0001 Milw 4 in x .040 in x 5/8"" Metal Cut Off Disc",NORMALIZED
49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0039,"49-94-0039 Milw 7 in x 1/8 in x 5/8"" DKO Metal Cut Off Disc",NORMALIZED
49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0043,"49-94-0043 Milw 9 in x 3/32 in x 7/8"" Metal Cut Off Disc",NORMALIZED
49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0048,"49-94-0048 Milw 12 in x 7/64 in x 1"" Metal Cut Off Disc General Purpose",NORMALIZED
49-94-0053,"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0053 Milw 12""x1/8""x1"" Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0053,"49-94-0053 Milw 12 in x 1/8 in x 1"" Metal Cut Off Disc",NORMALIZED
49-94-0058,"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0058 Milw 12""x1/8""x20mm Metal Cut Off Disc",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0058,49-94-0058 Milw 12 in x 1/8 in x 20mm Metal Cut Off Disc,NORMALIZED
49-94-0063,"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),"49-94-0063 Milw 14""x7/64""x1"" Metal Cut Off Disc General Purpose",Milwaukee Electric Tool Corporation,Milwaukee®,49-94-0063,"49-94-0063 Milw 14 in x 7/64 in x 1"" Metal Cut Off Disc General Purpose",NORMALIZED
